TUXJES_STARTED_ENDED_ALL_IN_1.pl
SERVER;JOB_NUMBER;JOB_NAME;DOMAIN;CLASS;PART_OF_DAY;STARTED;ENDED;RUNTIME_SECONDS;RETURN_CODE
dione;01403878;POROBOTS;CO;9;1;2020-11-15 00:00:03;2020-11-15 00:00:06;3;C0000
dione;01403879;POIMSCOS;CO;0;1;2020-11-15 00:01:03;2020-11-15 00:01:05;2;C0000
dione;01403880;PTTME010;CO;F;1;2020-11-15 00:02:09;2020-11-15 00:02:11;2;C0000
dione;01403881;PTTME120;CO;F;1;2020-11-15 00:02:38;2020-11-15 00:02:39;1;C0004
dione;01403882;POROBOTS;CO;9;1;2020-11-15 00:05:03;2020-11-15 00:05:06;3;C0000
dione;01403883;POIMSCOS;CO;0;1;2020-11-15 00:06:04;2020-11-15 00:06:06;2;C0000
dione;01403884;PTTME120;CO;F;1;2020-11-15 00:06:40;2020-11-15 00:06:41;1;C0004
dione;01403885;POROBOTS;CO;9;1;2020-11-15 00:10:02;2020-11-15 00:10:05;3;C0000
dione;01403886;PTACSDEL;CO;F;1;2020-11-15 00:10:10;2020-11-15 00:10:11;1;C0000
dione;01403887;PTACSVER;CO;F;1;2020-11-15 00:10:10;2020-11-15 00:10:12;2;C0000
dione;01403888;POIMSCOS;CO;0;1;2020-11-15 00:11:03;2020-11-15 00:11:05;2;C0000
dione;01403889;PTTME120;CO;F;1;2020-11-15 00:12:25;2020-11-15 00:12:26;1;C0004
dione;01403890;PTTME006;CO;F;1;2020-11-15 00:13:12;2020-11-15 00:13:14;2;C0000
dione;01403891;POROBOTS;CO;9;1;2020-11-15 00:15:02;2020-11-15 00:15:05;3;C0000
dione;01403892;POIMSCOS;CO;0;1;2020-11-15 00:16:03;2020-11-15 00:16:05;2;C0000
dione;01403893;PTTME120;CO;F;1;2020-11-15 00:16:50;2020-11-15 00:16:51;1;C0004
dione;01403894;PTTME006;CO;F;1;2020-11-15 00:18:09;2020-11-15 00:18:11;2;C0000
dione;01403895;POROBOTS;CO;9;1;2020-11-15 00:20:03;2020-11-15 00:20:06;3;C0000
dione;01403896;POIMSCOS;CO;0;1;2020-11-15 00:21:03;2020-11-15 00:21:05;2;C0000
dione;01403897;PTTME120;CO;F;1;2020-11-15 00:22:05;2020-11-15 00:22:06;1;C0004
dione;01403898;PTTME006;CO;F;1;2020-11-15 00:23:08;2020-11-15 00:23:10;2;C0000
dione;01403899;POROBOTS;CO;9;1;2020-11-15 00:25:03;2020-11-15 00:25:06;3;C0000
dione;01403900;POIMSCOS;CO;0;1;2020-11-15 00:26:02;2020-11-15 00:26:04;2;C0000
dione;01403901;PTTME120;CO;F;1;2020-11-15 00:27:24;2020-11-15 00:27:25;1;C0004
dione;01403902;PTTME006;CO;F;1;2020-11-15 00:28:09;2020-11-15 00:28:11;2;C0000
dione;01403903;POROBOTS;CO;9;1;2020-11-15 00:30:03;2020-11-15 00:30:06;3;C0000
dione;01403904;PTDRCDA2;CO;F;1;2020-11-15 00:30:11;2020-11-15 00:34:14;243;C0000
dione;01403905;PTCAFBB0;CO;F;1;2020-11-15 00:30:11;2020-11-15 00:30:14;3;C0000
dione;01403906;POIMSCOS;CO;0;1;2020-11-15 00:31:03;2020-11-15 00:31:05;2;C0000
dione;01403907;PTTME120;CO;F;1;2020-11-15 00:31:34;2020-11-15 00:31:36;2;C0004
dione;01403908;PTTME006;CO;F;1;2020-11-15 00:33:08;2020-11-15 00:33:10;2;C0000
dione;01403909;POROBOTS;CO;9;1;2020-11-15 00:35:03;2020-11-15 00:35:06;3;C0000
dione;01403910;PTCAFBW0;CO;F;1;2020-11-15 00:35:09;2020-11-15 00:35:12;3;C0000
dione;01403911;POIMSCOS;CO;0;1;2020-11-15 00:36:02;2020-11-15 00:36:05;3;C0000
dione;01403912;PTTME120;CO;F;1;2020-11-15 00:36:53;2020-11-15 00:36:54;1;C0004
dione;01403913;PTTME006;CO;F;1;2020-11-15 00:38:09;2020-11-15 00:38:11;2;C0000
dione;01403914;POROBOTS;CO;9;1;2020-11-15 00:40:03;2020-11-15 00:40:06;3;C0000
dione;01403915;POIMSCOS;CO;0;1;2020-11-15 00:41:03;2020-11-15 00:41:06;3;C0000
dione;01403916;PTTME120;CO;F;1;2020-11-15 00:42:10;2020-11-15 00:42:11;1;C0004
