TUXJES_STARTED_ENDED_ALL_IN_1.pl
SERVER;JOB_NUMBER;JOB_NAME;DOMAIN;CLASS;PART_OF_DAY;STARTED;ENDED;RUNTIME_SECONDS;RETURN_CODE
dione;01403917;PTTME006;CO;F;1;2020-11-15 00:43:09;2020-11-15 00:43:11;2;C0000
dione;01403918;POROBOTS;CO;9;1;2020-11-15 00:45:04;2020-11-15 00:45:07;3;C0000
dione;01403919;POIMSCOS;CO;0;1;2020-11-15 00:46:04;2020-11-15 00:46:06;2;C0000
dione;01403920;PTTME120;CO;F;1;2020-11-15 00:47:23;2020-11-15 00:47:24;1;C0004
dione;01403921;PTTME006;CO;F;1;2020-11-15 00:48:09;2020-11-15 00:48:11;2;C0000
dione;01403922;POROBOTS;CO;9;1;2020-11-15 00:50:03;2020-11-15 00:50:06;3;C0000
dione;01403923;POIMSCOS;CO;0;1;2020-11-15 00:51:03;2020-11-15 00:51:06;3;C0000
dione;01403924;PTTME120;CO;F;1;2020-11-15 00:52:27;2020-11-15 00:52:28;1;C0004
dione;01403925;PTTME006;CO;F;1;2020-11-15 00:53:09;2020-11-15 00:53:10;1;C0000
dione;01403926;POROBOTS;CO;9;1;2020-11-15 00:55:03;2020-11-15 00:55:06;3;C0000
dione;01403927;POIMSCOS;CO;0;1;2020-11-15 00:56:02;2020-11-15 00:56:05;3;C0000
dione;01403928;PTTME120;CO;F;1;2020-11-15 00:56:40;2020-11-15 00:56:41;1;C0004
dione;01403929;PTTME006;CO;F;1;2020-11-15 00:58:10;2020-11-15 00:58:12;2;C0000
dione;01403930;POROBOTS;CO;9;1;2020-11-15 01:00:03;2020-11-15 01:00:07;4;C0000
dione;01403931;PTCAFBW1;CO;F;1;2020-11-15 01:00:13;2020-11-15 01:00:19;6;C0000
dione;01403932;PTTME007;CO;F;1;2020-11-15 01:00:15;2020-11-15 01:00:17;2;C0000
dione;01403933;POIMSCOS;CO;0;1;2020-11-15 01:01:02;2020-11-15 01:01:05;3;C0000
dione;01403934;PTTME120;CO;F;1;2020-11-15 01:02:02;2020-11-15 01:02:03;1;C0004
dione;01403935;PTACT130;CO;F;1;2020-11-15 01:02:21;2020-11-15 01:11:08;527;C0000
dione;01403936;PTTME006;CO;F;1;2020-11-15 01:03:08;2020-11-15 01:03:10;2;C0000
dione;01403937;POROBOTS;CO;9;1;2020-11-15 01:05:03;2020-11-15 01:05:06;3;C0000
dione;01403938;POIMSCOS;CO;0;1;2020-11-15 01:06:04;2020-11-15 01:06:06;2;C0000
dione;01403939;PTTME120;CO;F;1;2020-11-15 01:07:08;2020-11-15 01:07:09;1;C0004
dione;01403940;PTTME006;CO;F;1;2020-11-15 01:08:09;2020-11-15 01:08:11;2;C0000
dione;01403941;POROBOTS;CO;9;1;2020-11-15 01:10:03;2020-11-15 01:10:06;3;C0000
dione;01403942;POIMSCOS;CO;0;1;2020-11-15 01:11:03;2020-11-15 01:11:06;3;C0000
dione;01403943;PTTME120;CO;F;1;2020-11-15 01:11:31;2020-11-15 01:11:32;1;C0004
dione;01403944;PTTME006;CO;F;1;2020-11-15 01:13:08;2020-11-15 01:13:10;2;C0000
dione;01403945;POROBOTS;CO;9;1;2020-11-15 01:15:03;2020-11-15 01:15:05;2;C0000
dione;01403946;POIMSCOS;CO;0;1;2020-11-15 01:16:03;2020-11-15 01:16:05;2;C0000
dione;01403947;PTTME120;CO;F;1;2020-11-15 01:16:46;2020-11-15 01:16:47;1;C0004
dione;01403948;PTTME006;CO;F;1;2020-11-15 01:18:09;2020-11-15 01:18:11;2;C0000
dione;01403949;POROBOTS;CO;9;1;2020-11-15 01:20:03;2020-11-15 01:20:06;3;C0000
dione;01403950;POIMSCOS;CO;0;1;2020-11-15 01:21:03;2020-11-15 01:21:05;2;C0000
dione;01403951;PTTME120;CO;F;1;2020-11-15 01:22:05;2020-11-15 01:22:06;1;C0004
dione;01403952;PTTME006;CO;F;1;2020-11-15 01:23:08;2020-11-15 01:23:10;2;C0000
dione;01403953;POROBOTS;CO;9;1;2020-11-15 01:25:03;2020-11-15 01:25:05;2;C0000
dione;01403954;POIMSCOS;CO;0;1;2020-11-15 01:26:03;2020-11-15 01:26:05;2;C0000
dione;01403955;PTTME120;CO;F;1;2020-11-15 01:27:24;2020-11-15 01:27:25;1;C0004
dione;01403956;PTTME006;CO;F;1;2020-11-15 01:28:09;2020-11-15 01:28:11;2;C0000
dione;01403957;POROBOTS;CO;9;1;2020-11-15 01:30:02;2020-11-15 01:30:05;3;C0000
dione;01403958;PTCAFBW2;CO;F;1;2020-11-15 01:30:14;2020-11-15 01:31:39;85;C0000
dione;01403959;POIMSCOS;CO;0;1;2020-11-15 01:31:03;2020-11-15 01:31:05;2;C0000
dione;01403960;PTTME120;CO;F;1;2020-11-15 01:32:26;2020-11-15 01:32:27;1;C0004
dione;01403961;PTTME006;CO;F;1;2020-11-15 01:33:08;2020-11-15 01:33:10;2;C0000
dione;01403962;POROBOTS;CO;9;1;2020-11-15 01:35:02;2020-11-15 01:35:05;3;C0000
dione;01403963;POIMSCOS;CO;0;1;2020-11-15 01:36:02;2020-11-15 01:36:04;2;C0000
dione;01403964;PTTME120;CO;F;1;2020-11-15 01:36:41;2020-11-15 01:36:42;1;C0004
dione;01403965;PTTME006;CO;F;1;2020-11-15 01:38:09;2020-11-15 01:38:11;2;C0000
dione;01403966;POROBOTS;CO;9;1;2020-11-15 01:40:04;2020-11-15 01:40:06;2;C0000
dione;01403967;POIMSCOS;CO;0;1;2020-11-15 01:41:03;2020-11-15 01:41:06;3;C0000
dione;01403968;PTTME120;CO;F;1;2020-11-15 01:41:55;2020-11-15 01:41:56;1;C0004
dione;01403969;PTTME006;CO;F;1;2020-11-15 01:43:08;2020-11-15 01:43:10;2;C0000
dione;01403970;POROBOTS;CO;9;1;2020-11-15 01:45:04;2020-11-15 01:45:07;3;C0000
dione;01403971;POIMSCOS;CO;0;1;2020-11-15 01:46:03;2020-11-15 01:46:05;2;C0000
dione;01403972;PTTME120;CO;F;1;2020-11-15 01:47:14;2020-11-15 01:47:15;1;C0004
dione;01403973;PTTME006;CO;F;1;2020-11-15 01:48:09;2020-11-15 01:48:11;2;C0000
dione;01403974;POROBOTS;CO;9;1;2020-11-15 01:50:03;2020-11-15 01:50:05;2;C0000
dione;01403975;POIMSCOS;CO;0;1;2020-11-15 01:51:03;2020-11-15 01:51:05;2;C0000
dione;01403976;PTTME120;CO;F;1;2020-11-15 01:51:29;2020-11-15 01:51:30;1;C0004
dione;01403977;PTTME006;CO;F;1;2020-11-15 01:53:08;2020-11-15 01:53:10;2;C0000
dione;01403978;POROBOTS;CO;9;1;2020-11-15 01:55:02;2020-11-15 01:55:05;3;C0000
dione;01403979;POIMSCOS;CO;0;1;2020-11-15 01:56:03;2020-11-15 01:56:06;3;C0000
dione;01403980;PTTME120;CO;F;1;2020-11-15 01:56:47;2020-11-15 01:56:48;1;C0004
dione;01403981;PTTME006;CO;F;1;2020-11-15 01:58:09;2020-11-15 01:58:11;2;C0000
dione;01403982;POROBOTS;CO;9;1;2020-11-15 02:00:03;2020-11-15 02:00:06;3;C0000
dione;01403983;POIMSCOS;CO;0;1;2020-11-15 02:01:03;2020-11-15 02:01:05;2;C0000
dione;01403984;PTTME120;CO;F;1;2020-11-15 02:01:55;2020-11-15 02:01:56;1;C0004
dione;01403985;PTTME006;CO;F;1;2020-11-15 02:03:09;2020-11-15 02:03:10;1;C0000
dione;01403986;POROBOTS;CO;9;1;2020-11-15 02:05:04;2020-11-15 02:05:07;3;C0000
dione;01403987;POIMSCOS;CO;0;1;2020-11-15 02:06:04;2020-11-15 02:06:06;2;C0000
dione;01403988;PTTME120;CO;F;1;2020-11-15 02:07:00;2020-11-15 02:07:01;1;C0004
dione;01403989;PTTME006;CO;F;1;2020-11-15 02:08:08;2020-11-15 02:08:10;2;C0000
dione;01403990;POROBOTS;CO;9;1;2020-11-15 02:10:02;2020-11-15 02:10:08;6;C0000
dione;01403991;POIMSCOS;CO;0;1;2020-11-15 02:11:03;2020-11-15 02:11:05;2;C0000
dione;01403992;PTTME120;CO;F;1;2020-11-15 02:11:29;2020-11-15 02:11:30;1;C0004
dione;01403993;PTTME006;CO;F;1;2020-11-15 02:13:08;2020-11-15 02:13:12;4;C0000
dione;01403994;POROBOTS;CO;9;1;2020-11-15 02:15:03;2020-11-15 02:15:06;3;C0000
dione;01403995;PTSRMSTO;CO;F;1;2020-11-15 02:15:10;2020-11-15 02:15:49;39;C0000
dione;01403996;POIMSCOS;CO;0;1;2020-11-15 02:16:03;2020-11-15 02:16:06;3;C0000
dione;01403997;PTTME120;CO;F;1;2020-11-15 02:17:30;2020-11-15 02:17:31;1;C0004
dione;01403998;PTTME006;CO;F;1;2020-11-15 02:18:09;2020-11-15 02:18:11;2;C0000
dione;01403999;POROBOTS;CO;9;1;2020-11-15 02:20:03;2020-11-15 02:20:06;3;C0000
dione;01404000;POIMSCOS;CO;0;1;2020-11-15 02:21:03;2020-11-15 02:21:06;3;C0000
dione;01404001;PTTME120;CO;F;1;2020-11-15 02:21:47;2020-11-15 02:21:48;1;C0004
dione;01404002;PTTME006;CO;F;1;2020-11-15 02:23:09;2020-11-15 02:23:11;2;C0000
dione;01404003;POROBOTS;CO;9;1;2020-11-15 02:25:04;2020-11-15 02:25:07;3;C0000
dione;01404004;POIMSCOS;CO;0;1;2020-11-15 02:26:03;2020-11-15 02:26:05;2;C0000
dione;01404005;PTTME120;CO;F;1;2020-11-15 02:26:52;2020-11-15 02:26:53;1;C0004
dione;01404006;PTTME006;CO;F;1;2020-11-15 02:28:08;2020-11-15 02:28:10;2;C0000
dione;01404007;POROBOTS;CO;9;1;2020-11-15 02:30:02;2020-11-15 02:30:05;3;C0000
dione;01404008;POIMSCOS;CO;0;1;2020-11-15 02:31:03;2020-11-15 02:31:05;2;C0000
dione;01404009;PTTME120;CO;F;1;2020-11-15 02:31:57;2020-11-15 02:31:58;1;C0004
dione;01404010;PTTME006;CO;F;1;2020-11-15 02:33:08;2020-11-15 02:33:10;2;C0000
dione;01404011;POROBOTS;CO;9;1;2020-11-15 02:35:03;2020-11-15 02:35:07;4;C0000
dione;01404012;POIMSCOS;CO;0;1;2020-11-15 02:36:03;2020-11-15 02:36:05;2;C0000
dione;01404013;PTTME120;CO;F;1;2020-11-15 02:37:20;2020-11-15 02:37:21;1;C0004
dione;01404014;PTTME006;CO;F;1;2020-11-15 02:38:09;2020-11-15 02:38:11;2;C0000
dione;01404015;POROBOTS;CO;9;1;2020-11-15 02:40:03;2020-11-15 02:40:06;3;C0000
dione;01404016;POIMSCOS;CO;0;1;2020-11-15 02:41:03;2020-11-15 02:41:05;2;C0000
dione;01404017;PTTME120;CO;F;1;2020-11-15 02:42:08;2020-11-15 02:42:09;1;C0004
dione;01404018;PTTME006;CO;F;1;2020-11-15 02:43:08;2020-11-15 02:43:10;2;C0000
dione;01404019;POROBOTS;CO;9;1;2020-11-15 02:45:03;2020-11-15 02:45:06;3;C0000
dione;01404020;PTTME011;CO;F;1;2020-11-15 02:45:10;2020-11-15 02:45:17;7;C0000
dione;01404021;PTTME015;CO;F;1;2020-11-15 02:45:30;2020-11-15 02:45:32;2;C0000
dione;01404022;POIMSCOS;CO;0;1;2020-11-15 02:46:03;2020-11-15 02:46:05;2;C0000
dione;01404023;PTTME120;CO;F;1;2020-11-15 02:46:37;2020-11-15 02:46:38;1;C0004
dione;01404024;PTTME006;CO;F;1;2020-11-15 02:48:10;2020-11-15 02:48:12;2;C0000
dione;01404025;POROBOTS;CO;9;1;2020-11-15 02:50:03;2020-11-15 02:50:06;3;C0000
dione;01404026;POIMSCOS;CO;0;1;2020-11-15 02:51:03;2020-11-15 02:51:06;3;C0000
dione;01404027;PTTME120;CO;F;1;2020-11-15 02:51:59;2020-11-15 02:52:01;2;C0004
dione;01404028;PTTME006;CO;F;1;2020-11-15 02:53:09;2020-11-15 02:53:10;1;C0000
dione;01404029;POROBOTS;CO;9;1;2020-11-15 02:55:03;2020-11-15 02:55:06;3;C0000
dione;01404030;POIMSCOS;CO;0;1;2020-11-15 02:56:03;2020-11-15 02:56:06;3;C0000
dione;01404031;PTTME120;CO;F;1;2020-11-15 02:57:18;2020-11-15 02:57:20;2;C0004
dione;01404032;PTTME006;CO;F;1;2020-11-15 02:58:09;2020-11-15 02:58:11;2;C0000
dione;01404033;POROBOTS;CO;9;1;2020-11-15 03:00:03;2020-11-15 03:00:06;3;C0000
dione;01404034;PTTME007;CO;F;1;2020-11-15 03:00:10;2020-11-15 03:00:13;3;C0000
dione;01404035;POSYSMNT;CO;0;1;2020-11-15 03:00:12;2020-11-15 03:00:28;16;C0000
dione;01404036;POIMSCOS;CO;0;1;2020-11-15 03:01:02;2020-11-15 03:01:04;2;C0000
dione;01404037;PTTME120;CO;F;1;2020-11-15 03:01:33;2020-11-15 03:01:34;1;C0004
dione;01404038;PTTME006;CO;F;1;2020-11-15 03:03:08;2020-11-15 03:03:10;2;C0000
dione;01404039;POROBOTS;CO;9;1;2020-11-15 03:05:04;2020-11-15 03:05:06;2;C0000
dione;01404040;POIMSCOS;CO;0;1;2020-11-15 03:06:02;2020-11-15 03:06:05;3;C0000
dione;01404041;PTTME120;CO;F;1;2020-11-15 03:07:15;2020-11-15 03:07:16;1;C0004
dione;01404042;PTTME006;CO;F;1;2020-11-15 03:08:09;2020-11-15 03:08:11;2;C0000
dione;01404043;POROBOTS;CO;9;1;2020-11-15 03:10:04;2020-11-15 03:10:07;3;C0000
dione;01404044;PTACSBB1;CO;F;1;2020-11-15 03:10:08;2020-11-15 03:10:11;3;C0000
dione;01404045;POIMSCOS;CO;0;1;2020-11-15 03:11:03;2020-11-15 03:11:06;3;C0000
dione;01404046;PTTME120;CO;F;1;2020-11-15 03:11:38;2020-11-15 03:11:39;1;C0004
dione;01404047;PTTME006;CO;F;1;2020-11-15 03:13:08;2020-11-15 03:13:11;3;C0000
dione;01404048;POROBOTS;CO;9;1;2020-11-15 03:15:03;2020-11-15 03:15:06;3;C0000
dione;01404049;POIMSCOS;CO;0;1;2020-11-15 03:16:03;2020-11-15 03:16:06;3;C0000
dione;01404050;PTTME120;CO;F;1;2020-11-15 03:16:55;2020-11-15 03:16:56;1;C0004
dione;01404051;PTTME006;CO;F;1;2020-11-15 03:18:11;2020-11-15 03:18:13;2;C0000
dione;01404052;POROBOTS;CO;9;1;2020-11-15 03:20:03;2020-11-15 03:20:07;4;C0000
dione;01404053;PTACSB14;CO;F;1;2020-11-15 03:20:09;2020-11-15 03:20:11;2;C0002
dione;01404054;PTACSB15;CO;F;1;2020-11-15 03:20:25;2020-11-15 03:20:28;3;C0002
dione;01404055;POIMSCOS;CO;0;1;2020-11-15 03:21:03;2020-11-15 03:21:06;3;C0000
dione;01404056;PTTME120;CO;F;1;2020-11-15 03:22:12;2020-11-15 03:22:13;1;C0004
dione;01404057;PTTME006;CO;F;1;2020-11-15 03:23:09;2020-11-15 03:23:11;2;C0000
dione;01404058;POROBOTS;CO;9;1;2020-11-15 03:25:03;2020-11-15 03:25:06;3;C0000
dione;01404059;POIMSCOS;CO;0;1;2020-11-15 03:26:03;2020-11-15 03:26:05;2;C0000
dione;01404060;PTTME120;CO;F;1;2020-11-15 03:27:32;2020-11-15 03:27:34;2;C0004
dione;01404061;PTTME006;CO;F;1;2020-11-15 03:28:09;2020-11-15 03:28:11;2;C0000
dione;01404062;POROBOTS;CO;9;1;2020-11-15 03:30:04;2020-11-15 03:30:07;3;C0000
dione;01404063;PTSRMPTO;CO;F;1;2020-11-15 03:30:11;2020-11-15 03:30:24;13;C0000
dione;01404064;POIMSCOS;CO;0;1;2020-11-15 03:31:02;2020-11-15 03:31:04;2;C0000
dione;01404065;PTTME120;CO;F;1;2020-11-15 03:32:04;2020-11-15 03:32:05;1;C0004
dione;01404066;PTTME006;CO;F;1;2020-11-15 03:33:08;2020-11-15 03:33:10;2;C0000
dione;01404067;POROBOTS;CO;9;1;2020-11-15 03:35:03;2020-11-15 03:35:07;4;C0000
dione;01404068;POIMSCOS;CO;0;1;2020-11-15 03:36:02;2020-11-15 03:36:04;2;C0000
dione;01404069;PTTME120;CO;F;1;2020-11-15 03:37:30;2020-11-15 03:37:31;1;C0004
dione;01404070;PTTME006;CO;F;1;2020-11-15 03:38:09;2020-11-15 03:38:11;2;C0000
dione;01404071;POROBOTS;CO;9;1;2020-11-15 03:40:03;2020-11-15 03:40:06;3;C0000
dione;01404072;POIMSCOS;CO;0;1;2020-11-15 03:41:02;2020-11-15 03:41:05;3;C0000
dione;01404073;PTTME120;CO;F;1;2020-11-15 03:41:47;2020-11-15 03:41:48;1;C0004
dione;01404074;PTTME006;CO;F;1;2020-11-15 03:43:09;2020-11-15 03:43:11;2;C0000
dione;01404075;POROBOTS;CO;9;1;2020-11-15 03:45:03;2020-11-15 03:45:05;2;C0000
dione;01404076;POIMSCOS;CO;0;1;2020-11-15 03:46:02;2020-11-15 03:46:05;3;C0000
dione;01404077;PTTME120;CO;F;1;2020-11-15 03:46:39;2020-11-15 03:46:41;2;C0004
dione;01404078;PTTME006;CO;F;1;2020-11-15 03:48:10;2020-11-15 03:48:12;2;C0000
dione;01404079;POROBOTS;CO;9;1;2020-11-15 03:50:03;2020-11-15 03:50:06;3;C0000
dione;01404080;POIMSCOS;CO;0;1;2020-11-15 03:51:03;2020-11-15 03:51:06;3;C0000
dione;01404081;PTTME120;CO;F;1;2020-11-15 03:52:01;2020-11-15 03:52:02;1;C0004
dione;01404082;PTTME006;CO;F;1;2020-11-15 03:53:08;2020-11-15 03:53:11;3;C0000
dione;01404083;POROBOTS;CO;9;1;2020-11-15 03:55:03;2020-11-15 03:55:06;3;C0000
dione;01404084;POIMSCOS;CO;0;1;2020-11-15 03:56:03;2020-11-15 03:56:06;3;C0000
dione;01404085;PTTME120;CO;F;1;2020-11-15 03:56:34;2020-11-15 03:56:35;1;C0004
dione;01404086;PTTME006;CO;F;1;2020-11-15 03:58:09;2020-11-15 03:58:11;2;C0000
dione;01404087;POROBOTS;CO;9;1;2020-11-15 04:00:03;2020-11-15 04:00:06;3;C0000
dione;01404088;PTACTTB2;CO;F;1;2020-11-15 04:00:12;2020-11-15 04:10:11;599;C0000
dione;01404089;PTCAOB40;CO;F;1;2020-11-15 04:00:13;2020-11-15 04:03:30;197;C0000
dione;01404090;PTSRMB08;CO;F;1;2020-11-15 04:00:14;2020-11-15 04:00:17;3;C0000
dione;01404091;POIMSCOS;CO;0;1;2020-11-15 04:01:03;2020-11-15 04:01:06;3;C0000
dione;01404092;PTTME120;CO;F;1;2020-11-15 04:01:49;2020-11-15 04:01:50;1;C0004
dione;01404093;PTTME006;CO;F;1;2020-11-15 04:03:09;2020-11-15 04:03:11;2;C0000
dione;01404094;PTCAFB60;CO;F;1;2020-11-15 04:03:42;2020-11-15 04:03:46;4;C0000
dione;01404095;POROBOTS;CO;9;1;2020-11-15 04:05:03;2020-11-15 04:05:07;4;C0000
dione;01404096;PTCAFBA0;CO;F;1;2020-11-15 04:05:08;2020-11-15 04:05:11;3;C0000
dione;01404097;POIMSCOS;CO;0;1;2020-11-15 04:06:03;2020-11-15 04:06:05;2;C0000
dione;01404098;PTTME120;CO;F;1;2020-11-15 04:07:17;2020-11-15 04:07:18;1;C0004
dione;01404099;PTTME006;CO;F;1;2020-11-15 04:08:13;2020-11-15 04:08:15;2;C0000
dione;01404100;POROBOTS;CO;9;1;2020-11-15 04:10:02;2020-11-15 04:10:05;3;C0000
dione;01404101;POIMSCOS;CO;0;1;2020-11-15 04:11:03;2020-11-15 04:11:05;2;C0000
dione;01404102;PTTME120;CO;F;1;2020-11-15 04:11:48;2020-11-15 04:11:49;1;C0004
dione;01404103;PTTME006;CO;F;1;2020-11-15 04:13:08;2020-11-15 04:13:10;2;C0000
dione;01404104;POROBOTS;CO;9;1;2020-11-15 04:15:03;2020-11-15 04:15:06;3;C0000
dione;01404105;POIMSCOS;CO;0;1;2020-11-15 04:16:03;2020-11-15 04:16:05;2;C0000
dione;01404106;PTTME120;CO;F;1;2020-11-15 04:17:05;2020-11-15 04:17:06;1;C0004
dione;01404107;PTTME006;CO;F;1;2020-11-15 04:18:09;2020-11-15 04:18:11;2;C0000
dione;01404108;POROBOTS;CO;9;1;2020-11-15 04:20:04;2020-11-15 04:20:07;3;C0000
dione;01404109;PTSCE0AD;CO;F;1;2020-11-15 04:20:09;2020-11-15 04:20:41;32;C0000
dione;01404110;POIMSCOS;CO;0;1;2020-11-15 04:21:03;2020-11-15 04:21:05;2;C0000
dione;01404111;PTSCE0LE;CO;F;1;2020-11-15 04:21:19;2020-11-15 04:34:03;764;C0000
dione;01404112;PTTME120;CO;F;1;2020-11-15 04:22:20;2020-11-15 04:22:22;2;C0004
dione;01404113;PTTME006;CO;F;1;2020-11-15 04:23:08;2020-11-15 04:23:10;2;C0000
dione;01404114;POROBOTS;CO;9;1;2020-11-15 04:25:03;2020-11-15 04:25:06;3;C0000
dione;01404115;POIMSCOS;CO;0;1;2020-11-15 04:26:02;2020-11-15 04:26:05;3;C0000
dione;01404116;PTTME120;CO;F;1;2020-11-15 04:26:36;2020-11-15 04:26:37;1;C0004
dione;01404117;PTTME006;CO;F;1;2020-11-15 04:28:08;2020-11-15 04:28:10;2;C0000
dione;01404118;POROBOTS;CO;9;1;2020-11-15 04:30:03;2020-11-15 04:30:06;3;C0000
dione;01404119;PTSRMB07;CO;F;1;2020-11-15 04:30:09;2020-11-15 04:30:12;3;C0000
dione;01404120;POIMSCOS;CO;0;1;2020-11-15 04:31:03;2020-11-15 04:31:05;2;C0000
dione;01404121;POSPD0RM;CO;F;1;2020-11-15 04:31:07;2020-11-15 04:31:12;5;C0000
dione;01404122;POSPD0RM;CO;F;1;2020-11-15 04:31:11;2020-11-15 04:31:14;3;C0000
dione;01404123;PTTME120;CO;F;1;2020-11-15 04:31:52;2020-11-15 04:31:53;1;C0004
dione;01404124;PTTME006;CO;F;1;2020-11-15 04:33:08;2020-11-15 04:33:10;2;C0000
dione;01404125;PTSCE0LP;CO;F;1;2020-11-15 04:34:39;2020-11-15 04:34:42;3;C0000
dione;01404126;PTSCE0DB;CO;F;1;2020-11-15 04:34:54;2020-11-15 04:35:12;18;C0000
dione;01404127;POROBOTS;CO;9;1;2020-11-15 04:35:04;2020-11-15 04:35:07;3;C0000
dione;01404128;PTSCE0RE;CO;F;1;2020-11-15 04:35:25;2020-11-15 04:35:51;26;C0000
dione;01404129;POIMSCOS;CO;0;1;2020-11-15 04:36:02;2020-11-15 04:36:05;3;C0000
dione;01404130;PTTME120;CO;F;1;2020-11-15 04:37:11;2020-11-15 04:37:12;1;C0004
dione;01404131;PTTME006;CO;F;1;2020-11-15 04:38:09;2020-11-15 04:38:11;2;C0000
dione;01404132;POROBOTS;CO;9;1;2020-11-15 04:40:03;2020-11-15 04:40:06;3;C0000
dione;01404133;POIMSCOS;CO;0;1;2020-11-15 04:41:03;2020-11-15 04:41:06;3;C0000
dione;01404134;PTTME120;CO;F;1;2020-11-15 04:42:29;2020-11-15 04:42:30;1;C0004
dione;01404135;PTTME006;CO;F;1;2020-11-15 04:43:08;2020-11-15 04:43:10;2;C0000
dione;01404136;POROBOTS;CO;9;1;2020-11-15 04:45:03;2020-11-15 04:45:05;2;C0000
dione;01404137;POIMSCOS;CO;0;1;2020-11-15 04:46:04;2020-11-15 04:46:06;2;C0000
